,Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
14744,SCN3A,0,0,1,1,6,2,1,1,0,0
14745,SCN2A,0,0,0,0,0,0,0,0,0,0
14746,CSRNP3,0,0,0,0,0,0,0,0,0,0
14747,GALNT3,694,625,1058,1651,1818,1062,1436,1457,1578,854
14748,LOC100506124,14,16,5,9,21,27,11,10,13,12
14749,TTC21B,88,0,48,123,167,139,147,157,54,151
14750,TTC21B-AS1,0,0,0,0,0,1,0,1,0,3
14751,LOC102724058,0,0,0,0,0,0,0,0,0,0
14752,SCN1A,0,0,0,0,2,0,0,0,0,0
14753,LOC101929680,1,0,0,3,0,0,0,0,1,0
14754,SCN9A,32,95,12,136,110,46,32,86,13,86
14755,SCN7A,0,0,0,0,0,1,0,1,0,0
14756,XIRP2,4,0,0,0,1,0,0,0,0,1
14757,XIRP2-AS1,0,0,0,0,0,0,0,0,0,0
14758,LOC105616981,0,0,0,0,0,0,0,0,0,0
14759,B3GALT1,0,0,0,0,0,0,0,0,0,0
14760,STK39,26,0,2,26,30,26,16,21,33,26
14761,CERS6,27,2,3,74,151,96,66,52,34,104
14762,MIR4774,0,0,0,0,1,0,0,0,0,0
14763,CERS6-AS1,0,0,0,0,0,0,0,0,0,0
14764,NOSTRIN,0,0,2,0,0,0,0,0,0,0
14765,SPC25,194,125,161,222,186,186,259,121,250,187
14766,G6PC2,0,0,0,0,0,0,0,0,0,0
14767,ABCB11,0,0,1,3,5,4,3,2,3,10
14768,DHRS9,3667,2042,4365,1614,2536,1805,1417,1842,1717,1836
14769,LRP2,0,0,8,5,1,0,0,0,1,1
14770,BBS5,79,60,59,720,669,659,610,700,750,609
14771,KLHL41,0,0,2,0,2,1,0,0,2,0
14772,FASTKD1,43,163,58,24,42,45,14,22,13,42
14773,PPIG,1631,2234,2124,2943,3552,2554,2966,2138,3922,3752
14774,CCDC173,0,0,8,4,1,4,2,2,3,6
14775,PHOSPHO2,4,0,1,1,2,3,1,2,1,5
14776,PHOSPHO2-KLHL23,0,0,0,0,0,0,0,0,0,0
14777,KLHL23,0,0,0,0,0,0,0,0,0,0
14778,SSB,310,131,360,135,324,150,155,138,107,219
14779,METTL5,69,71,108,36,38,42,50,23,51,51
14780,UBR3,502,693,357,1287,1249,1031,1173,1219,655,1248
14781,MYO3B,0,0,1,3,4,2,0,0,0,0
14782,LOC101929753,0,0,0,0,0,0,0,0,0,0
14783,LOC101926913,0,0,0,0,0,0,0,0,0,0
14784,LINC01124,0,0,0,0,0,0,0,0,0,0
14785,SP5,0,0,0,0,0,0,0,0,0,0
14786,ERICH2,0,0,0,0,0,0,0,0,0,0
14787,GAD1,0,0,1,0,0,0,0,0,0,1
14788,GORASP2,207,277,384,181,341,330,261,217,223,490
14789,TLK1,944,2441,3998,1256,1818,1238,1146,974,993,1521
14790,METTL8,36,6,26,14,35,13,17,10,24,32
14791,DCAF17,0,0,14,25,46,36,16,32,23,53
14792,CYBRD1,518,136,929,2628,2718,1657,1163,1326,910,2950
14793,DYNC1I2,83,8,138,63,137,132,206,127,77,210
14794,SLC25A12,12,8,103,48,67,85,74,69,78,97
14795,HAT1,1436,1434,2606,807,916,1060,900,815,1059,1374
14796,METAP1D,0,0,0,1,4,2,0,0,0,2
14797,DLX1,0,0,0,0,3,0,0,0,0,0
14798,DLX2,2,0,0,4,0,1,2,0,0,0
14799,DLX2-AS1,0,0,0,0,0,0,0,0,0,0
14800,ITGA6,236,219,399,408,564,707,710,760,428,866
14801,PDK1,1168,924,1378,1186,969,1061,1266,1111,847,1251
14802,RAPGEF4-AS1,0,0,0,0,1,0,0,1,1,0
14803,RAPGEF4,0,0,0,2,2,4,8,5,5,5
14804,ZAK,234,245,133,492,375,354,734,204,267,163
14805,MLK7-AS1,22,30,17,8,14,8,21,2,5,3
14806,CDCA7,0,0,0,3,8,14,1,1,1,7
14807,SP3,4354,3156,4227,10314,9713,9409,8405,8460,6060,8289
14808,OLA1,47,69,38,44,77,79,65,45,49,83
14809,LINC01305,9,0,12,24,32,3,15,11,6,19
14810,SP9,0,0,0,0,0,0,0,0,0,0
14811,CIR1,12947,7206,10763,11672,13579,9403,11231,9851,15940,10397
14812,SCRN3,436,245,255,473,579,365,378,397,346,386
14813,GPR155,2723,1502,1758,2837,2463,2240,2160,2117,1865,2192
14814,WIPF1,15534,11566,9562,42578,47173,44457,48887,49057,35401,49099
14815,CHRNA1,0,0,0,0,0,0,0,0,0,0
14816,CHN1,0,26,0,1,3,3,2,3,7,10
14817,ATF2,544,657,558,1062,1048,1133,823,1076,885,1139
14818,MIR933,2,12,0,0,1,0,0,0,0,0
14819,ATP5G3,198,579,328,89,147,183,190,116,175,221
14820,KIAA1715,194,467,529,200,284,356,415,302,230,481
14821,EVX2,0,0,0,0,0,0,0,0,0,0
14822,HOXD13,0,0,0,0,0,0,0,0,0,0
14823,HOXD12,0,0,0,0,0,0,0,0,0,0
14824,HOXD11,0,0,0,0,0,0,0,0,0,0
14825,HOXD10,0,0,0,0,0,0,0,0,0,0
14826,HOXD9,0,0,0,0,0,0,0,0,0,0
14827,HOXD8,0,1,0,0,0,0,0,0,0,0
14828,HOXD-AS2,0,0,0,0,0,0,0,0,0,0
14829,MIR10B,0,0,0,0,0,0,0,0,0,0
14830,HOXD4,0,0,0,0,0,0,0,0,0,0
14831,HOXD3,0,0,0,0,0,0,0,0,0,0
14832,HAGLR,0,0,0,0,0,0,0,0,0,0
14833,HAGLROS,0,0,0,0,0,0,0,0,0,0
14834,HOXD1,0,0,0,0,0,0,0,0,0,0
14835,MIR7704,0,0,0,0,0,0,0,0,0,0
14836,MTX2,29,0,3,7,4,5,4,2,3,12
14837,MIR1246,0,0,0,0,0,0,0,0,0,0
14838,LINC01116,0,0,0,0,0,0,0,0,0,0
14839,LINC01117,0,0,0,0,0,0,0,0,0,0
14840,HNRNPA3,2137,1601,1486,4273,3795,2952,3172,2252,2117,3530
14841,MIR4444-1,0,0,0,0,0,0,0,0,0,0
14842,MIR4444-2,0,0,0,0,0,0,0,0,0,0
14843,NFE2L2,3298,3395,3189,7138,6835,5203,5494,5278,6056,5207
14844,MIR3128,60,3,25,0,5,0,1,1,0,0
14845,LOC100130691,0,0,3,0,11,11,4,5,1,3
14846,MIR6512,0,0,0,0,0,1,0,0,0,0
14847,AGPS,105,120,258,187,335,323,264,270,165,386
14848,TTC30B,51,1,108,58,55,60,49,66,40,144
14849,TTC30A,16,0,25,24,27,33,19,23,16,92
14850,PDE11A,0,0,0,0,0,0,0,0,0,0
14851,RBM45,6,2,163,18,28,26,26,24,19,38
14852,OSBPL6,23,0,49,17,23,49,59,19,23,35
14853,LOC101927027,11,0,24,10,31,27,32,15,15,29
14854,PRKRA,147,147,312,156,178,178,201,120,167,248
