Names	total	elements
		CYP17A1
		CMTM5
		GAS1
		GFER
		NKPD1
		GJC2
		GABRB3
		DET1
		ZNF559-ZNF177
		ZNF263
		AKAP8L
		CRIP1
		NEURL4
		CKAP2L
		RNASE1
		SLC25A10
		ARG2
		MKI67
		PET117
		FBXL16
		FFAR2
		SLC1A3
		LHFPL5
		SHROOM4
		SCO2
		C18orf32
		CLSPN
		SHPK
		NAV3
		TM4SF1
		CDH7
		GPR150
		PLGLB1
		ARL6IP4
		TOMM5
		RAB40C
		ZNF628
		TLDC2
		OSBP2
		STK11
		DZIP1L
		FAM124A
		ZNF564
		TCL1B
		SETD1A
		LOX
		FGF13
		PRDM5
		CDCA2
		IQSEC3
		MYL9
		MAGED4
		GTPBP6
		SIGLEC5
		GRIN3B
		ZNF512B
		EID2
		MARCKSL1
		MIPOL1
		EFCC1
		GTF2I
		ZNF469
		SCAF1
		KLHL34
		SLC2A4RG
		DDTL
		CHURC1-FNTB
		LSR
		ANKRD53
		ZNF746
		CTRL
		PAK4
		ETV3L
		LYPD2
		PHKG1
		JMJD8
		SH3BP1
		NPIPB6
		TPM2
		MGAT3
		AK5
		CENPB
		OLFML3
		NREP
		LIPJ
		NDRG4
		EXO1
		ABCA2
		LRG1
		FAXDC2
		PTPMT1
		ADM
		CTDNEP1
		ABCB6
		RPP21
		PTGR2
		FCGR1A
		TCF20
		FPR2
		MAPK8IP3
		SRM
		FOXH1
		GRAP
		PNPLA7
		MXD1
		SARNP
		CCDC42
		ANO8
		MUSTN1
		MDP1
		MANSC1
		HDAC10
		KLC2
		FXYD1
		C10orf105
		STX1B
		WHAMM
		MTCP1
		PROX2
		SH3BGR
		MROH6
		LDB1
		TNFRSF6B
		CAV2
		COMMD3-BMI1
		SLC27A2
		PCBP2
		IL1B
		CAPN15
		DUS1L
		SYCE1L
		USP50
		RBAK-RBAKDN
		DCHS1
		TOMM40
		GNB1
		RPL23A
		SYCE2
		C22orf15
		CXorf65
		SNX15
		BMX
		SLCO5A1
		UBE2V1
		TIGD3
		DMWD
		GSTM5
		PDCD1LG2
		CALD1
		RBM15B
		ARHGEF25
		POMC
		AGBL5
		HAUS7
		TGFB1I1
		C11orf96
		WRNIP1
		ALAS2
		CNNM3
		RPS25
		PKP3
		TSGA13
		ASMT
		ZBTB7B
		CNOT3
		TSSK2
		ZNF821
		KLF13
		MPRIP
		PSMA6
		SORBS3
		TPST1
		CEACAM1
		SREBF1
		EIF3CL
		PWWP2B
		JMJD7-PLA2G4B
		ELMO3
		HTR2A
		LTK
		ZNF703
		ALKBH6
		DEXI
		VAMP7
		CKMT2
		PITPNC1
		SEMA6B
		P2RY11
		BAALC
		CLTB
		C2orf88
		CACNG6
		PGAM2
		SUCNR1
		ZNF804A
		WDR83
		GOLGA8G
		ENGASE
		GDF7
		SLC39A1
		PRPF40B
		CIDEB
		GNA12
		TREML1
		KCNJ11
		IFITM1
		BPI
		SPTBN4
		TTC4
		TSHR
		IGSF22
		PCOLCE2
		SULT2B1
		PEAR1
		MMP10
		ZNF57
		ROR1
		HSD17B14
		PTDSS2
		STON1-GTF2A1L
		SLC25A23
		COL27A1
		CCDC78
		MCM8
		FLT4
		ATXN2L
		RPL38
		RPS16
		ZBTB46
		FKBP6
		MAP7D1
		MID2
		OR4F16
		CLEC18C
		HORMAD1
		FBXO2
		RPL14
		GPS2
		LRTM2
		AANAT
		PBX2
		IL1R1
		LTBP3
		ZCWPW2
