"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BRIP1",52.3824028205331,1.2529284858495,0.3083041517853,4.06393646856247,4.82519645329232e-05,0.00018404594549293
"CMTM2",131.748337698158,1.72667400717096,0.425165034907326,4.06118534076379,4.88241907965756e-05,0.000185958738769281
"SLC28A3",24.801058051718,1.90347738831356,0.468927492984923,4.05921473317148,4.92380192227856e-05,0.000187353929838788
"CHST10",40.9024118383619,-1.34451065986468,0.331557270665069,-4.05513852001415,5.0104601648001e-05,0.000190284078302979
"TUSC1",8.98548568253415,-2.86784892381256,0.707650997828461,-4.05263178122127,5.06446795875896e-05,0.000192103868796408
"RPL23A",10224.0108315229,-1.7591628998703,0.434107667288875,-4.052365420903,5.07023902235287e-05,0.000192276532485091
"DGCR6",36.9256139965346,-1.32508130120308,0.327039015930971,-4.05175296112918,5.08353245989361e-05,0.000192595421468753
"WWC1",20.3708433975659,1.82324971060245,0.450016822681698,4.05151456280569,5.08871582096886e-05,0.000192745499347553
"BLOC1S4",322.17206986225,-1.95223590964266,0.481899241398307,-4.05112882929207,5.09711321932444e-05,0.000193017214154106
"MMP21",6.42028149048211,1.924879004662,0.475321938889522,4.04963214860022,5.12982038807041e-05,0.000194209138647735
"CNBD2",13.0588223529994,-2.92075795232898,0.722923541623118,-4.0402031254526,5.34049275700751e-05,0.000201267029303518
"RNF122",67.9708931510132,-1.44102300002463,0.356868905130317,-4.03796178178766,5.39176345094809e-05,0.000202908358741
"ENTPD8",0.975621054534474,-3.96335142507052,0.981906520090137,-4.03638365157886,5.42814255923908e-05,0.000204179977210395
"MAGEF1",144.00333260395,-1.28489978930203,0.318729150924834,-4.03132184669562,5.54640302530317e-05,0.000208379867830113
"CACNA1C",25.0378931899657,-1.48806368290624,0.369435785127388,-4.02793595751187,5.62686650411869e-05,0.00021125193645075
"TYMS",107.078334956383,1.47685844333597,0.366899681712167,4.02523773376986,5.69177844513259e-05,0.00021353646440683
"C16orf96",5.73044036328532,-3.27101129422064,0.813679465148964,-4.02002438837731,5.81921170015979e-05,0.000218161651853863
"NAT8L",3.6835553690725,-3.6849794723969,0.916706176282709,-4.01980434705882,5.82464930372148e-05,0.000218313614111918
"STX1B",4.20164847809078,-2.50947124365134,0.62438243367061,-4.0191253121884,5.84145978954776e-05,0.000218891669757062
"FZD8",2.83274117387533,-4.58638893190045,1.14176773764507,-4.01691936169086,5.89638892529924e-05,0.00022079260714582
"TGFB2",17.4365042328522,1.88569599836158,0.469664163016002,4.01498804220525,5.94488087681132e-05,0.000222350914434286
"IGIP",21.3194813057862,-1.68938817770298,0.421337339445659,-4.00958571563027,6.08253706427638e-05,0.000226901075160282
"AGAP1",102.608237740292,-1.28223053340251,0.319944911334906,-4.00766034394066,6.13232268376546e-05,0.000228596060903684
"TRIB1",1879.47392945221,1.38773677644828,0.346304779481726,4.00727006576444,6.14246128458168e-05,0.000228865814742316
"KRT2",12.4369253930209,-1.39274598510926,0.347868939212126,-4.00365145638939,6.23722382305201e-05,0.000232067690816646
"HORMAD1",18.6421962961344,1.53819229577701,0.38431840002504,4.00239045457306,6.27057033641689e-05,0.00023319838563067
"FBXO2",37.8751440054865,-1.94503345842296,0.486051369381436,-4.00170348434214,6.28880784008601e-05,0.000233766385231762
"PPP1R14B",208.767888295571,-2.15001543137615,0.537677047502988,-3.99871157112059,6.36882352136017e-05,0.000236462063509634
"FBXL22",5.69475549841442,-2.09133975915057,0.52422255152702,-3.9894120408568,6.62372752700298e-05,0.000245175852043865
"IL1R1",90.1257744533497,1.53751295267068,0.385769968574336,3.98556932348251,6.73185189018272e-05,0.000248711098645964
"NFIX",48.5059557889497,-1.77049837333343,0.444623593684194,-3.98201624583821,6.8333107737983e-05,0.000251987321777757
"DYNC1I1",18.2734521954635,2.23596353935201,0.56165618411147,3.98101828592748,6.86206695338533e-05,0.000252988592774178
"CCDC78",21.0133272750147,-1.67312252679816,0.420287112985345,-3.98090370869045,6.86537581022885e-05,0.000253051430892567
"CCL2",64.4368378472527,2.13146839371144,0.535627728575255,3.97938396389792,6.90940731886052e-05,0.000254317788175188
"GUCA1B",15.0211500870437,-1.53508789627691,0.386186700186635,-3.97498902871341,7.03825006109385e-05,0.000258697925806507
"UPB1",35.9187766998707,1.71174162074034,0.431549211916734,3.96650387365464,7.29345908069538e-05,0.000267268672445928
"LAT",1058.76600990888,-2.40795311514527,0.607084534471183,-3.96642144284368,7.29598076011103e-05,0.000267298974560909
"CCNA1",15.0899824861385,2.8956361112234,0.730093677370277,3.96611585742419,7.30533626317551e-05,0.000267579571627506
"GPR153",31.6004253491766,-1.93625632414562,0.488927314814705,-3.96021303264562,7.488293101084e-05,0.000273708826860479
"TMEM150C",14.2233030983397,1.69659150896043,0.428833852126586,3.95629099835993,7.6122426319781e-05,0.000277981687408101
"SECTM1",647.36063233044,-1.25549042014718,0.317402250214606,-3.95551833453701,7.63688906999106e-05,0.000278623674327779
"KCNK5",28.1293128176281,1.93608842428774,0.489494862534134,3.95527833380015,7.6445599617244e-05,0.000278839037271779
"NLRP6",66.3861277194493,-1.41474292543107,0.358473384947482,-3.94657730486277,7.92763334500853e-05,0.000288430526222548
"SIGLEC8",6.30029132798549,5.17511312478026,1.31353009641502,3.93985119861703,8.15321645033268e-05,0.000295750988626143
"SPTB",166.234424381709,1.30836131317751,0.332308049477358,3.93719416437625,8.24399004888847e-05,0.000298768867304846
"SNRNP70",1832.66248606376,-1.64377276534901,0.417538208934607,-3.93681998479438,8.25684980061626e-05,0.000299166172881506
"DDAH1",12.9686743409035,2.30667607154744,0.585992857113772,3.93635527045272,8.27284743382157e-05,0.000299605112970806
"CTRL",62.9379185672255,-4.52071401272472,1.14859737048586,-3.93585613974759,8.29006246518251e-05,0.000300093792060726
"MYO15B",932.320197001319,-1.26590865627876,0.321641147019619,-3.93577957300825,8.29270624728812e-05,0.000300120612510849
"BBC3",156.136039582297,-1.38030447306642,0.351125106220249,-3.93109022571743,8.45615274746697e-05,0.000305335259004233
"FRAT1",358.502394676124,-1.36661380804954,0.347748817816729,-3.92988771789233,8.49855376814197e-05,0.000306725835311522
"SMIM3",1066.5229139223,1.32801805786621,0.338234227054497,3.92632664479647,8.6253004741105e-05,0.000311157911888543
"CDC42BPG",44.4228351161667,-1.57173089092968,0.400514212736333,-3.92428243729864,8.69886323516575e-05,0.000313668200605931
"DACT3",3.92674276167516,-4.02549002088513,1.02680153525154,-3.92041683098866,8.83959395613007e-05,0.000318378798529535
"PXDC1",14.3061867478321,-1.90040888609305,0.485144056710909,-3.91720533273581,8.95814429940579e-05,0.000322280684056177
"PTGFR",15.7725299582369,3.39188999041535,0.866264908298868,3.91553433357493,9.02042061539763e-05,0.000324299233977778
"IFIT1",577.301215086494,1.2855951541475,0.32833811297681,3.91546123747839,9.02315414139142e-05,0.000324323580487752
"LFNG",781.451140537983,-1.47438006427857,0.376663580111598,-3.91431543193463,9.06610546565865e-05,0.000325793154259212
"GCKR",5.60602848212488,4.20301310403014,1.07381720176263,3.91408621237495,9.07472107111432e-05,0.000325950319529493
"C1QTNF4",2.74598049028735,-3.48887384400487,0.891375422133148,-3.9140341514641,9.07667894606603e-05,0.000325950319529493
"MPND",145.078186049659,-1.87031799928031,0.478452424232618,-3.90909922189252,9.26409106802833e-05,0.000332115395778938
"EIF1AY",476.241168296261,1.4459902823984,0.370065485716831,3.90739028147264,9.32983851695838e-05,0.000334204435815279
"NOTCH3",3.02533913208259,-2.94332650499566,0.754279454161643,-3.90216979762106,9.53342416714635e-05,0.000340723240344963
"SOX7",3.65968483349134,-2.49438860484603,0.640050966553219,-3.89717184285922,9.73225640186871e-05,0.0003474358260984
"GP5",22.7720168423598,-1.49845252477854,0.384880511462522,-3.89329280166593,9.88926704344996e-05,0.000352721663973977
"GRB10",107.208685653555,1.53892139530541,0.395284608006115,3.89319837943602,9.89311858995087e-05,0.000352779259327843
"PRELID1",1371.45782276876,-1.33221697533658,0.342305843413088,-3.89189083672429,9.94659993704398e-05,0.0003546061803957
"CYP2F1",2.38087752756124,-2.09837873678774,0.540416167591733,-3.88289407798213,0.000103220539589565,0.000367161558503972
"OLAH",6.69528234842396,4.77594393520002,1.23124321584389,3.87896060968475,0.000104903738375892,0.000372644540915444
"RSPH10B2",1.49209921331833,-2.73026121312171,0.704189099635244,-3.87717051362472,0.00010567829759098,0.000375226949483325
"LEAP2",40.2700017964732,1.37345509693096,0.354487627414647,3.87447964530625,0.000106852773566629,0.000378800167384328
"GNB2",1470.07113871503,-1.27846551435057,0.33000320739828,-3.87410026838799,0.000107019346440351,0.000379305422934206
"CHAD",13.5691931699677,-1.29570319865135,0.334517094762046,-3.87335421399922,0.000107347631195043,0.000380318767402234
"SCO2",706.60074691251,-2.63768221157807,0.681329563394074,-3.8713749605086,0.000108223168263058,0.000383227617836765
"FSTL4",20.8667644825177,1.77488421683581,0.458644927407461,3.86984377406839,0.000108905117362021,0.000385469369621586
"SIGLEC1",835.861595641556,1.39970601158273,0.361814055991261,3.86857831641715,0.000109471775911933,0.000387127544771973
"HSFX2",0.924360349088119,-2.93657076791758,0.759167912687528,-3.86814394923758,0.000109666921389931,0.000387556953654939
"LDB3",1.19712847110781,-2.63632008518686,0.68184118249399,-3.8664723587741,0.000110420972535245,0.00038995960117015
"DGKI",6.49421958228489,3.31126957929187,0.857994786788053,3.85931200315071,0.000113706690919184,0.000400666204016393
"AHSP",19.1622505113081,2.93006223609581,0.759535640159144,3.85770210267142,0.000114458028252233,0.000403043541324899
"MEX3B",9.63696615197462,-1.74750724934753,0.453177554778275,-3.85612047843484,0.000115200727080381,0.000405568273998163
"B4GALNT4",9.54195152798989,-3.55281355732603,0.922355608044421,-3.85189131647251,0.000117209044722022,0.000411903086754844
"GYPB",7.98117215774895,3.01902067871002,0.784693857684983,3.84738665804876,0.000119384477256772,0.000418894766472484
"ZNF358",78.740773973033,-1.94013991568742,0.50500454037675,-3.84182667791463,0.000122122061850488,0.000427739098269132
"VAMP7",156.692461395742,-4.65562017193437,1.21209365923196,-3.84097395153802,0.000122547119528404,0.000429037329456599
"DZIP1L",18.9087911762175,2.06369461133587,0.53781492266634,3.8371836190499,0.000124453417132036,0.000435324749391544
"LRRC4B",2.29524535503139,-3.63254204609437,0.9475068531678,-3.8337897334987,0.000126184014987651,0.000440889296496505
"KRTAP5-1",0.957686089719952,-3.5940741139696,0.938000271980222,-3.83163440494757,0.000127294802067713,0.000444520005228343
"EVPL",4.95238727782364,-2.68193753303853,0.700566003707973,-3.82824390399121,0.000129060826955738,0.000450342336890687
"TOMM20L",2.66912018599811,-2.05999761421805,0.538156207154001,-3.82788043105959,0.000129251515006453,0.000450808247386504
"MZT2B",524.173520964781,-2.09594746028028,0.547629945769045,-3.82730615166947,0.000129553339267862,0.000451661199587251
"SMIM10",18.4922563667513,1.90427950868883,0.497672454981843,3.82637111945106,0.000130046186099273,0.000452978897340488
"PTPRCAP",535.447918788625,-5.00444377196605,1.30816937418274,-3.82553197676908,0.000130489994285548,0.000454424418165524
"CDK5R1",192.024768266406,-1.25051815458352,0.327158483231993,-3.82236200091673,0.000132179453208323,0.000460003163283686
"PARL",662.656716756347,-1.28736828261688,0.33724250298371,-3.81733699408304,0.000134899855982008,0.000468643288226481
"RPLP2",12215.570061231,-1.68650306629794,0.441828630348885,-3.81709773983231,0.000135030688307128,0.000468994498123767
"DHRS13",186.308345454067,-1.42972934265165,0.375368975144048,-3.80886391077736,0.000139606764689915,0.000483716584509961
"EGLN2",674.08367980332,-1.37762952068782,0.362357863443195,-3.80184800627014,0.000143620828845556,0.00049631632615077
"C12orf57",561.657281662302,-1.46525591201381,0.385488935116366,-3.80103234758605,0.000144094487336125,0.000497844086367003
"KIF24",35.680144314277,-1.72855433088141,0.454786337469217,-3.80080531992324,0.000144226585305228,0.000498191349854153
"KCNH2",17.4506085655932,-2.63403115932461,0.693099199208786,-3.8003667618308,0.000144482087037605,0.00049896463252838
"RPL38",3612.83953768778,-1.55053296896839,0.408063115029808,-3.79973810878527,0.000144849080634113,0.000500122526217432
"C1orf122",190.430854458148,-1.56507123158465,0.412386049918171,-3.79516046164802,0.00014754799673375,0.000508661640324525
"DUSP2",3190.94325691626,-1.250847291083,0.329891096378057,-3.79169763845194,0.000149621009198919,0.00051490782393309
"KLF2",3854.76395371805,-1.53180372743753,0.404309614305242,-3.78868983877555,0.000151443845113748,0.000520386127480183
"MGAT4B",478.436374034464,-1.74569586659041,0.460810642682958,-3.78831499295789,0.000151672474779759,0.000520944745693894
"ALDH1L2",16.3294937866613,1.98213900727374,0.523256971512642,3.7880795004866,0.000151816274817975,0.000521325122235815
"CCL27",0.894400152169425,-3.99245480165985,1.0544493237973,-3.78629367154616,0.000152910949560717,0.000524627256139141
"FAM86B1",7.67687535464899,-1.28951761149098,0.340721658256526,-3.78466581223349,0.000153915261637652,0.000527715541775707
