Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
KRTAP3-2,0,0,0,0,0,0,1,0,0,0
KRTAP3-1,0,0,0,0,0,0,0,0,0,0
KRTAP1-5,0,0,0,0,0,0,0,0,0,0
KRTAP1-4,0,0,0,0,0,0,0,0,0,0
KRTAP1-3,0,0,0,0,0,0,0,0,0,0
KRTAP1-1,0,0,0,0,0,0,0,0,0,0
KRTAP9-7,0,0,0,0,0,0,0,0,0,0
KRTAP2-1,0,0,0,0,0,0,0,0,0,0
KRTAP2-2,0,0,0,0,0,0,0,0,0,0
KRTAP2-3,0,0,0,0,0,0,0,0,0,0
KRTAP2-4,0,0,0,0,0,0,0,0,0,0
KRTAP4-7,0,0,0,0,0,0,0,0,0,0
KRTAP4-8,0,0,0,0,0,0,0,0,0,0
KRTAP4-9,0,0,0,0,0,0,0,0,0,0
KRTAP4-11,0,0,0,0,0,0,0,0,0,0
KRTAP4-12,0,0,0,0,0,0,0,0,0,1
KRTAP4-6,0,0,0,0,0,0,0,0,0,0
KRTAP4-5,0,0,0,0,0,0,0,0,0,0
KRTAP4-4,0,0,0,0,0,0,0,0,0,0
KRTAP4-3,0,0,0,0,0,0,0,0,0,0
KRTAP4-2,0,0,0,0,0,0,0,0,0,0
KRTAP4-1,0,0,0,0,0,0,0,0,0,0
KRTAP9-1,0,0,0,0,0,0,0,0,0,0
KRTAP9-2,0,0,0,0,0,0,0,0,0,0
KRTAP9-3,0,0,0,0,0,0,0,0,0,0
KRTAP9-8,0,0,0,0,0,0,0,0,0,0
KRTAP9-4,0,0,0,0,0,0,0,0,0,0
KRTAP9-9,0,0,0,0,0,0,0,0,0,0
KRTAP9-6,0,0,0,0,0,0,0,0,0,0
KRTAP29-1,8,0,0,0,0,0,0,1,0,0
KRTAP16-1,0,0,0,1,1,0,4,4,3,0
KRTAP17-1,0,0,0,0,0,1,0,0,0,0
KRT33A,0,0,0,0,0,0,0,0,0,0
KRT33B,0,0,0,0,0,0,0,0,0,0
KRT34,0,0,0,0,0,0,0,0,0,0
KRT31,0,0,0,0,0,0,0,0,0,0
KRT37,0,0,0,0,0,0,0,0,0,0
KRT38,0,0,0,0,0,0,0,0,0,0
KRT32,0,0,0,0,0,0,0,0,0,0
KRT35,0,0,0,0,0,0,0,0,0,0
KRT36,0,0,1,0,0,1,0,0,2,0
KRT13,0,0,0,7,0,3,8,10,5,17
KRT15,0,0,0,0,2,0,0,0,0,1
KRT19,0,0,0,1,1,0,2,5,1,1
KRT9,0,0,0,0,0,0,0,0,0,0
KRT14,0,0,0,0,0,0,0,0,0,0
KRT16,0,0,0,0,0,0,0,0,0,0
KRT17,0,0,0,0,0,0,0,0,0,1
EIF1,18829,22287,12606,20411,24638,18124,30433,13894,18545,16968
GAST,0,0,0,0,0,1,0,1,0,0
HAP1,0,0,1,0,1,0,0,0,0,0
JUP,31,135,19,135,292,1538,237,134,98,479
P3H4,7,0,0,2,1,2,1,0,3,3
FKBP10,0,0,0,0,0,2,0,0,0,2
NT5C3B,11,0,119,6,14,14,2,5,5,10
KLHL10,0,0,0,0,0,1,0,1,1,2
KLHL11,173,0,54,134,160,176,137,131,86,203
ACLY,739,485,646,1547,2005,2332,2012,2348,1401,2615
CNP,924,756,415,382,437,454,595,324,451,682
DNAJC7,405,291,211,543,591,563,575,543,386,701
NKIRAS2,697,558,628,803,1052,1370,1188,1194,1075,1601
ZNF385C,0,0,0,2,6,5,1,2,0,4
DHX58,1467,100,490,751,686,356,558,411,456,425
KAT2A,63,74,51,127,173,121,87,97,141,101
HSPB9,30,0,0,9,6,17,4,8,6,11
RAB5C,2415,2079,3138,10709,13790,17782,15616,16442,18534,19331
KCNH4,0,0,0,3,9,0,4,1,4,9
HCRT,0,0,1,6,8,5,12,3,6,7
GHDC,121,31,72,415,384,336,360,294,413,258
STAT5B,8249,8087,4760,32018,26058,31432,31315,31042,22863,23913
STAT5A,2509,1932,1234,6120,6640,7337,7609,8117,4468,6542
STAT3,13596,13579,10952,25346,26955,29618,30852,31714,26676,26873
ATP6V0A1,1066,2366,630,2680,3664,3792,2998,5651,3195,3448
NAGLU,62,115,38,68,107,156,106,120,97,203
HSD17B1,107,243,84,316,392,472,221,371,398,545
COASY,1040,1137,1023,921,1499,1654,1427,1498,1401,1553
MLX,1679,2677,2427,2180,2590,3172,2187,2660,2717,2852
PSMC3IP,41,0,70,106,113,117,106,119,114,166
TUBG1,43,0,72,5,13,14,11,8,7,17
TUBG2,11,1,4,2,7,9,1,4,2,8
PLEKHH3,0,0,0,1,1,0,2,3,1,5
CCR10,1,0,0,5,1,9,6,2,3,6
CNTNAP1,54,3,21,123,105,87,116,68,46,96
EZH1,1811,1248,856,4169,4517,5097,4229,5519,3646,4861
RAMP2,0,0,0,0,0,0,0,0,0,0
VPS25,769,1522,1045,398,497,677,596,596,739,752
WNK4,0,0,0,3,10,2,2,3,3,3
COA3,164,242,401,22,30,38,41,29,42,64
CNTD1,225,123,74,139,150,105,97,99,106,137
BECN1,2390,2348,3594,1530,1847,2304,1667,2143,1155,2017
PSME3,4072,4055,5357,4521,5725,8060,6638,5564,7313,9054
AOC2,473,312,381,1297,2053,2051,1595,1472,2610,1987
AOC3,363,327,183,1123,1691,1675,1224,1154,2007,1648
AARSD1,0,0,0,0,0,0,0,0,0,0
PTGES3L-AARSD1,0,0,0,1,0,0,1,0,0,0
PTGES3L,4,3,6,5,5,4,6,2,3,4
RUNDC1,1020,1096,796,1094,1342,1678,1556,1452,2005,1933
RPL27,729,1279,1450,809,888,1782,1203,1200,1707,1782
IFI35,8032,3539,6277,1626,2130,1320,1989,1656,2807,1076
VAT1,126,160,148,242,382,356,473,338,334,458
RND2,7,3,11,4,8,4,2,5,3,4
BRCA1,269,73,227,446,499,505,508,609,314,559
NBR1,3332,2825,2069,7560,8954,9239,8248,8594,6159,8626
TMEM106A,95,99,14,119,172,163,109,127,119,136
ARL4D,0,0,17,0,4,7,1,0,4,5
DHX8,1918,1039,1765,2323,2837,2880,2636,2994,1789,2687
ETV4,7,0,2,13,23,20,24,25,23,23
MEOX1,0,0,0,0,0,0,0,0,0,0
SOST,0,0,0,1,1,0,0,0,2,0
DUSP3,237,445,391,847,658,737,912,603,791,382
MPP3,0,0,0,1,0,1,0,0,0,0
CD300LG,1,0,0,0,0,0,0,0,0,0
MPP2,0,0,0,0,0,0,0,0,0,0
PPY,0,0,0,0,0,0,0,0,0,0
PYY,0,0,0,1,3,3,0,0,0,0
NAGS,5,15,23,15,10,17,10,15,15,24
TMEM101,135,390,171,130,154,222,114,192,213,205
LSM12,1449,1397,1399,634,517,825,810,703,749,856
G6PC3,60,73,68,17,60,43,17,13,27,40
HDAC5,2234,2770,914,4342,5344,7221,6263,7914,5703,7423
ASB16,19,0,23,36,43,37,28,59,21,59
TMUB2,4021,3958,3524,3547,4211,4522,4539,4196,5311,4899
ATXN7L3,314,371,225,4281,4677,5288,4785,4928,4033,5240
UBTF,579,605,507,2216,2397,2760,2397,2543,1845,2618
SLC4A1,0,0,0,6,17,4,0,0,1,1
RUNDC3A,1,0,0,23,7,25,27,13,31,40
SLC25A39,72,20,49,53,122,138,71,55,63,179
GRN,6384,14607,8200,15053,15270,29886,28622,31557,35875,26343
FAM171A2,0,0,0,0,1,3,0,0,2,0
ITGA2B,80,213,121,164,514,102,40,23,63,103
GPATCH8,300,257,210,1094,1327,1293,1282,1092,633,1693
FZD2,4,0,0,10,13,24,0,3,5,9
CCDC43,78,23,196,62,80,99,77,93,63,99
DBF4B,47,1,12,112,96,79,101,147,99,140
ADAM11,0,0,3,9,12,5,6,11,8,18
GJC1,0,5,0,0,1,0,0,0,1,0
HIGD1B,0,0,0,1,0,1,0,0,0,2
EFTUD2,234,206,359,462,775,922,728,799,511,1341
CCDC103,4,0,0,2,5,2,0,0,1,2
GFAP,0,0,0,0,2,0,0,0,0,3
KIF18B,15,5,17,20,24,8,7,7,26,16
C1QL1,0,0,0,0,3,0,0,0,6,0
DCAKD,76,81,96,25,22,32,20,40,52,72
NMT1,330,984,451,969,1020,1665,1579,1600,1290,1697
PLCD3,1,59,11,38,57,78,54,72,50,81
ACBD4,18,0,7,62,96,81,61,94,71,99
HEXIM1,1687,1830,1579,3966,4520,3833,5134,3630,2845,4115
HEXIM2,135,236,195,209,291,240,208,306,242,210
FMNL1,12490,16487,5955,58701,56980,70056,71486,71099,66519,60252
SPATA32,0,1,0,27,24,35,26,3,1,13
MAP3K14,417,469,247,1147,1221,1407,1285,1275,1166,1554
ARHGAP27,6416,7023,3267,22587,23715,26772,23437,26235,23618,23270
PLEKHM1,938,773,589,5338,5569,7267,6612,7566,4978,6945
CRHR1,0,0,0,0,0,0,0,0,0,0
SPPL2C,0,0,0,0,0,0,0,0,0,0
MAPT,11,0,0,3,5,9,2,8,1,7
STH,0,0,0,0,1,0,0,0,0,0
KANSL1,1494,1471,805,3849,4148,3726,3758,4051,3076,4365
LRRC37A,329,136,187,265,659,319,451,694,616,522
ARL17B,18,0,0,0,23,1,9,2,31,8
ARL17A,1583,217,336,156,1262,160,847,197,1515,914
LRRC37A2,297,132,200,237,563,350,485,757,589,507
NSF,559,657,835,679,793,967,852,946,598,961
WNT3,40,0,14,1,0,7,5,7,11,8
WNT9B,0,0,0,0,0,0,0,0,0,0
GOSR2,118,136,134,40,106,92,51,79,59,92
RPRML,0,0,0,1,0,0,0,0,0,0
CDC27,449,168,303,846,1044,833,746,859,659,857
MYL4,0,0,1,2,1,6,0,0,0,0
ITGB3,64,141,93,97,245,25,4,3,14,20
EFCAB13,0,0,0,4,9,8,5,8,6,8
NPEPPS,4666,3460,4499,7388,7717,7344,7137,7146,6513,6856
KPNB1,11124,6186,6442,15323,15153,15922,17490,17830,14888,12810
TBKBP1,444,762,244,2516,2361,3052,3647,2508,3255,2413
TBX21,14,0,0,23,26,63,3,4,13,86
OSBPL7,13,1,18,30,75,91,58,82,71,139
MRPL10,256,167,138,203,265,360,263,315,383,427
LRRC46,14,98,26,79,63,74,55,40,60,72
SCRN2,118,96,245,80,88,185,122,117,91,187
SP6,0,0,0,2,2,1,2,2,1,3
SP2,750,619,757,2415,2898,3111,3218,3753,2426,3529
PNPO,21,2,26,7,23,22,5,9,9,20
PRR15L,0,0,0,0,0,0,0,0,0,1
CDK5RAP3,8280,6987,6093,4130,7762,4048,5215,4234,3538,4593
COPZ2,0,0,0,3,4,0,0,0,3,1
NFE2L1,345,258,206,1515,1931,2317,2403,2541,1371,2033
CBX1,642,472,345,2200,1432,2716,2848,2631,1954,2106
SNX11,2235,2077,1658,2186,2105,2967,2999,2983,2594,2151
SKAP1,27,124,20,25,28,47,15,10,27,54
HOXB1,0,0,0,0,0,0,0,0,0,0
HOXB2,3,0,1,9,9,12,5,2,4,9
HOXB3,0,0,0,0,4,12,1,0,0,5
HOXB4,0,0,0,0,2,4,0,0,1,2
HOXB5,0,0,0,0,0,0,0,0,0,0
HOXB6,0,0,0,0,0,0,0,0,0,0
HOXB7,0,0,0,0,0,1,0,0,1,0
HOXB8,0,0,0,0,0,0,0,0,0,0
HOXB9,0,0,0,0,0,0,0,0,0,0
PRAC1,0,0,0,0,0,0,0,0,0,0
PRAC2,1,0,0,0,0,0,0,0,0,0
HOXB13,0,0,0,0,0,0,0,0,0,0
TTLL6,0,0,0,0,0,0,0,0,0,0
CALCOCO2,5010,5557,5966,4205,6664,5427,5337,5496,5332,5755
UBE2Z,690,818,420,1329,1645,1746,1604,1624,1220,1801
SNF8,204,372,268,420,501,572,549,500,590,660
GIP,0,0,0,0,0,0,0,0,0,0
IGF2BP1,0,0,0,0,0,0,0,0,0,0
B4GALNT2,0,0,0,0,0,0,0,0,0,0
GNGT2,25,13,18,37,36,25,21,17,28,59
ABI3,371,271,249,671,562,794,485,409,492,1517
PHOSPHO1,3637,3948,4214,17342,16626,36495,18190,26793,30977,38894
ZNF652,4541,3235,3311,4818,5663,5725,5961,5046,5183,5866
NGFR,0,0,0,3,5,11,5,9,14,11
NXPH3,0,0,0,4,4,0,1,0,0,0
SPOP,2566,2484,2755,1901,2226,2467,2130,2315,2695,2888
SLC35B1,327,145,462,336,419,444,471,375,500,551
FAM117A,340,632,488,1963,2629,1783,2194,1835,3135,2218
KAT7,791,277,859,1503,2048,1901,1957,1921,1551,2400
TAC4,17,0,6,17,18,10,8,30,7,18
DLX4,0,0,4,2,1,1,0,0,0,0
DLX3,0,0,0,0,0,0,0,0,0,0
ITGA3,0,0,0,1,3,2,3,2,0,2
PDK2,84,9,42,21,42,61,51,56,41,93
SAMD14,0,0,0,7,13,3,1,1,3,4
PPP1R9B,1159,1464,773,12991,15748,16661,17425,16708,17858,20173
SGCA,4,0,0,1,3,2,1,1,6,1
COL1A1,0,0,0,13,39,15,2,7,10,10
TMEM92,22,47,58,46,62,46,32,73,69,42
XYLT2,121,464,164,146,150,249,190,209,159,364
MRPL27,210,297,247,14,25,32,24,30,41,46
EME1,1,70,3,3,4,3,6,5,4,6
LRRC59,346,288,231,620,803,1098,995,974,697,1204
ACSF2,78,277,117,112,203,149,118,191,92,188
CHAD,9,0,0,5,3,4,3,2,0,7
RSAD1,19,48,40,23,65,67,38,35,31,79
MYCBPAP,0,0,0,0,1,1,0,2,1,0
EPN3,0,0,0,0,0,0,0,0,0,0
SPATA20,4,28,6,31,55,38,2,14,1,34
CACNA1G,0,0,0,0,0,0,0,0,0,0
ABCC3,45,39,52,56,86,30,3,1,7,14
ANKRD40,335,254,413,55,114,108,79,84,40,126
LUC7L3,2072,1038,1044,1735,1595,1294,1266,1652,1631,2001
WFIKKN2,0,0,0,0,12,6,3,4,22,5
TOB1,11315,15456,22940,3997,3582,3189,3347,2460,3513,4001
SPAG9,3446,2725,2004,7715,7450,7518,6490,7815,4916,6684
NME1-NME2,0,0,0,0,0,0,0,0,0,0
NME1,15,69,14,3,2,7,0,0,1,3
NME2,0,0,0,0,1,1,0,0,0,0
MBTD1,278,177,186,1015,1067,1157,869,835,665,1269
UTP18,268,374,238,171,145,222,187,137,122,263
CA10,0,0,1,0,0,0,0,0,0,0
KIF2B,0,0,0,0,0,0,0,0,0,0
TOM1L1,0,0,0,3,2,1,0,0,0,0
COX11,21,0,53,27,34,40,38,15,21,49
STXBP4,0,0,0,1,5,7,4,0,1,7
HLF,0,0,0,2,0,2,0,0,0,4
MMD,103,82,204,101,224,52,20,11,37,38
TMEM100,0,0,0,0,0,0,0,0,0,0
PCTP,596,986,1079,891,1765,1760,1438,1542,1586,1703
ANKFN1,0,0,0,2,1,0,0,0,1,0
NOG,44,5,5,0,5,4,1,1,0,7
C17orf67,12,0,0,16,14,25,6,18,15,12
DGKE,77,28,78,78,91,39,43,28,13,36
TRIM25,11162,7122,4696,23180,17682,18636,16043,19287,13679,10810
COIL,137,219,256,133,171,167,137,158,107,223
SCPEP1,757,1743,2386,936,1690,1836,1252,1212,1314,1758
AKAP1,13,1,23,10,31,19,8,6,2,29
MSI2,49,145,64,122,154,212,132,196,122,247
CCDC182,0,0,0,0,0,0,0,0,0,0
MRPS23,80,0,221,36,39,66,34,39,46,45
CUEDC1,102,190,29,1180,877,1542,1817,2042,1603,2024
VEZF1,2010,2646,1479,2943,3193,3700,3439,4006,2813,3625
SRSF1,1765,1887,1434,2811,3228,3176,2827,2911,2483,3285
DYNLL2,41,28,13,702,694,1206,959,921,569,1181
OR4D1,0,0,0,0,0,0,0,0,0,0
OR4D2,0,0,0,0,0,0,0,0,0,0
EPX,0,0,0,2,5,11,14,13,7,8
MKS1,5,0,2,6,11,12,5,3,0,9
LPO,0,0,0,1,1,1,0,0,0,1
MPO,90,241,111,33,259,78,5,36,41,94
SUPT4H1,5088,5626,5887,4876,4630,5827,6016,5304,8244,6458
RNF43,7,0,15,17,20,12,17,9,6,24
HSF5,10,1,0,3,2,1,2,1,0,4
MTMR4,810,341,554,1844,1738,1529,1530,1974,1010,1425
TEX14,3,0,0,1,3,0,3,0,1,1
RAD51C,19,0,182,32,19,74,24,31,14,17
PPM1E,1,0,0,2,23,6,6,10,5,3
TRIM37,107,19,108,198,367,303,175,341,161,152
SKA2,111,70,254,49,86,56,54,56,58,68
PRR11,169,123,188,178,403,262,460,284,367,228
SMG8,106,106,141,205,233,295,245,297,237,263
GDPD1,21,13,29,62,53,56,82,43,40,48
YPEL2,299,224,225,599,911,930,830,776,486,1035
DHX40,1105,790,868,1689,1682,2026,1696,1784,1442,2145
CLTC,3047,3147,2600,5029,5669,7082,6413,6421,4771,7019
PTRH2,261,293,354,235,192,248,165,179,251,246
VMP1,45758,27145,53073,32985,37145,46255,39683,34118,45467,47748
TUBD1,269,228,244,188,189,167,136,159,254,127
RPS6KB1,376,430,415,769,723,720,774,772,457,680
RNFT1,730,855,1326,676,817,834,810,912,929,680
HEATR6,21,0,73,41,66,60,41,79,58,81
CA4,1200,2917,1051,2561,946,1703,1697,1615,2465,1327
USP32,5946,4853,3771,12529,13026,12402,12116,11840,7959,10944
APPBP2,649,440,732,1105,1378,1361,1071,1253,1217,1369
PPM1D,681,454,539,1541,1848,1915,1564,1649,1748,1983
BCAS3,479,571,531,707,642,1104,1155,1000,747,1232
TBX2,0,0,0,0,0,0,0,1,1,1
TBX4,0,0,0,0,0,0,0,0,0,0
NACA2,0,0,0,0,0,0,0,0,0,0
BRIP1,113,130,122,104,118,94,84,77,137,118
INTS2,29,57,103,33,33,52,26,26,18,18
MED13,2003,1532,1588,4801,5107,4538,4351,4764,2861,4215
EFCAB3,4,0,0,3,2,2,2,1,0,2
METTL2A,0,0,2,12,4,15,11,14,8,17
TLK2,795,605,475,1906,2135,2021,2248,2033,1393,2275
MRC2,0,0,0,7,2,3,1,9,0,5
TANC2,413,368,259,1100,971,1553,1268,1333,674,610
CYB561,324,27,271,469,1221,737,574,347,706,923
ACE,1,0,0,1,4,4,0,0,1,7
KCNH6,0,0,0,0,0,1,0,0,0,0
DCAF7,1035,1546,1140,1382,1839,2222,2073,2249,1850,2677
TACO1,40,96,59,49,65,90,67,80,60,110
MAP3K3,3951,7124,3340,11473,10487,15355,15548,14530,12317,14765
LIMD2,11448,19909,14017,19385,18498,30432,29426,27130,37118,28752
STRADA,819,1064,681,1247,1259,1506,1410,1471,1392,1725
CCDC47,604,819,857,1435,1379,1775,1789,1532,1254,1642
DDX42,644,1273,623,1998,2009,2180,2577,2273,1387,2303
FTSJ3,112,153,138,212,278,283,282,236,176,288
PSMC5,783,1020,759,401,466,528,486,386,399,611
SMARCD2,661,1180,588,2248,2326,2943,2813,3068,2675,3086
CSH2,0,0,0,0,0,0,0,0,0,0
GH2,0,0,0,0,0,0,0,0,0,0
CSH1,0,0,0,0,0,0,0,0,0,0
CSHL1,0,0,0,0,0,0,0,0,0,0
GH1,0,0,0,0,0,2,0,0,0,1
CD79B,59,0,33,17,40,54,4,0,6,37
SCN4A,0,0,0,0,0,0,0,1,0,0
PRR29,2,0,0,9,15,16,9,7,12,33
ICAM2,93,73,91,24,46,43,22,20,23,49
ERN1,356,675,490,1501,805,1625,1123,1461,242,908
TEX2,42,37,63,89,101,179,131,158,82,192
PECAM1,18487,19841,23809,38090,34025,52713,47476,49140,35854,61859
MILR1,528,185,161,60,95,411,84,668,516,592
POLG2,105,78,91,43,65,88,61,145,139,143
DDX5,31682,21447,29059,39768,37334,27771,37827,25875,18016,32742
CEP95,135,395,170,181,256,198,165,190,183,304
SMURF2,673,946,613,1046,1070,1200,1047,1179,805,1428
LRRC37A3,87,9,69,83,187,112,138,181,141,139
GNA13,4727,3330,4094,14408,16615,15741,16950,15396,14561,16379
RGS9,0,0,0,3,2,7,1,1,2,7
AXIN2,0,0,3,6,3,2,2,1,2,6
CEP112,0,0,0,0,1,0,0,0,0,0
APOH,0,0,0,0,0,0,0,0,0,0
PRKCA,17,1,61,29,50,46,14,7,15,58
CACNG5,0,0,0,0,0,0,0,0,0,0
CACNG4,0,0,0,0,0,1,1,1,1,2
CACNG1,0,0,0,4,0,1,1,1,1,0
HELZ,1286,2135,1077,1764,1434,1509,1607,1314,767,1555
PSMD12,1226,445,1502,526,626,581,612,579,569,644
PITPNC1,354,843,644,1289,1382,1936,1785,1407,1507,2049
NOL11,31,30,72,69,134,153,85,92,72,183
BPTF,1842,1569,1312,3361,3611,4252,4739,4436,2876,4592
C17orf58,16,37,30,21,21,35,31,31,33,29
KPNA2,79,12,70,40,85,69,59,49,35,100
AMZ2,1035,1167,1575,1026,1131,1207,1158,1065,1192,1213
ARSG,471,209,629,935,959,1759,988,1498,850,1130
SLC16A6,297,266,117,1138,1483,1840,1126,1239,1122,1311
PRKAR1A,15053,16903,22561,22757,27095,21722,19965,22601,22182,28328
WIPI1,949,960,1957,1537,1323,1759,1826,1746,1956,1757
FAM20A,45,0,56,73,86,66,51,102,34,56
ABCA8,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,7,5,7,2,5,5,1
ABCA6,0,0,8,3,2,5,3,3,3,6
ABCA10,2,0,50,18,14,19,5,22,6,10
ABCA5,361,275,215,452,358,346,362,518,212,341
MAP2K6,848,598,1042,507,287,277,583,446,497,237
KCNJ16,1,0,13,0,7,0,0,0,1,1
KCNJ2,25978,10069,23778,4063,6016,3349,3367,6173,4479,2967
SOX9,0,0,0,0,0,0,0,0,0,0
SLC39A11,354,384,1174,79,163,125,138,119,150,255
SSTR2,14,4,18,0,4,0,4,1,3,2
COG1,329,148,182,335,530,588,442,558,296,619
FAM104A,1574,1647,1756,1511,1659,1852,1780,1776,1781,2189
C17orf80,61,125,60,141,149,160,141,183,143,192
CPSF4L,3,0,2,4,1,6,7,2,4,6
CDC42EP4,94,240,102,349,555,765,593,660,604,715
SDK2,0,0,0,5,5,10,1,0,1,4
RPL38,477,871,659,768,896,1452,1132,1094,1454,1519
TTYH2,27,74,5,38,129,137,74,85,45,128
DNAI2,0,1,0,2,0,0,0,0,0,1
KIF19,0,0,0,0,1,6,0,0,0,4
BTBD17,0,0,0,0,0,0,0,0,0,0
GPR142,0,0,0,0,1,0,0,1,0,0
GPRC5C,2,0,13,0,4,1,1,10,3,2
CD300A,10742,13790,12194,11403,15210,11106,10587,15476,18567,14421
CD300LB,1140,1223,1069,817,1577,1903,1571,2704,1632,1983
CD300C,92,221,125,47,100,83,52,58,35,95
CD300LD,10,0,12,11,9,35,25,9,2,16
CD300E,193,97,224,144,596,172,41,16,11,151
RAB37,2277,2008,1962,4621,5663,6487,5852,6979,5504,8564
CD300LF,2208,3172,1913,3550,4833,4782,4952,4750,5122,6644
NAT9,172,213,137,89,167,217,119,92,116,196
TMEM104,104,143,52,171,329,455,276,290,205,418
GRIN2C,8,0,7,6,14,9,7,5,1,12
FDXR,57,0,0,29,39,59,42,52,47,64
FADS6,0,0,0,0,0,0,0,0,0,0
USH1G,0,0,0,0,0,0,0,0,0,0
OTOP2,0,0,0,0,1,0,0,0,0,1
OTOP3,0,0,0,0,0,0,0,0,0,0
HID1,0,0,0,0,4,2,1,0,0,2
CDR2L,0,0,0,0,2,2,2,0,2,1
KCTD2,663,780,239,1805,2323,2237,2458,3007,1843,2279
SLC16A5,642,1286,539,1386,1537,2407,1730,2918,2056,2304
ARMC7,345,467,355,536,623,897,993,919,868,880
NT5C,442,819,615,374,291,368,281,413,439,364
SUMO2,2959,3816,3906,2350,2777,3832,2796,2905,3751,4238
NUP85,392,60,513,347,490,486,436,637,468,673
GGA3,710,786,583,2459,3031,3598,3074,3832,2180,3343
MRPS7,152,178,198,19,68,52,17,21,43,49
MIF4GD,95,236,98,52,103,140,43,67,113,110
SLC25A19,2,0,16,10,23,35,15,22,20,13
GRB2,40395,48599,35529,21066,23718,25903,26245,26536,24960,24757
CASKIN2,0,0,0,0,1,1,1,0,1,1
TSEN54,35,97,73,47,63,67,38,18,39,170
LLGL2,45,35,24,62,58,99,116,76,93,165
MYO15B,799,1794,388,3214,3554,3714,4876,3414,2798,5333
RECQL5,120,84,61,296,402,486,352,446,316,495
SMIM5,68,173,33,23,38,26,25,23,27,24
SMIM6,0,0,0,4,2,0,2,0,0,2
SAP30BP,3106,3818,3170,2328,2633,3043,2737,2314,2428,3069
ITGB4,7,138,20,560,147,477,545,364,282,143
GALK1,772,1392,945,595,411,872,748,738,855,880
UNK,221,148,168,541,550,697,551,688,431,664
UNC13D,2254,2094,981,15217,12499,19741,19041,20236,16854,17370
WBP2,6420,8457,5548,17183,18907,22264,23751,23001,24566,25917
TRIM47,3,0,34,12,10,17,14,22,32,16
TRIM65,17,1,21,56,53,62,46,51,31,66
MRPL38,82,1,99,36,83,108,65,54,84,109
FBF1,0,6,0,25,31,35,20,31,29,37
ACOX1,3629,5018,4314,9483,9065,10444,9166,11339,8652,9202
TEN1,0,0,0,0,0,0,0,0,0,0
CDK3,0,0,0,0,0,0,0,0,0,0
EVPL,0,0,0,1,0,1,0,1,1,1
SRP68,109,411,350,118,196,237,181,210,109,336
GALR2,0,35,0,0,2,0,3,2,3,3
ZACN,1,0,15,3,2,3,1,3,12,2
EXOC7,1112,1194,942,1975,2035,2703,2716,2728,1512,3084
FOXJ1,0,0,0,0,0,0,2,1,1,2
RNF157,25,0,28,35,18,27,5,7,11,25
UBALD2,2259,3389,652,12423,10865,16182,17049,14984,23113,15105
QRICH2,4,5,16,36,46,62,56,54,58,99
PRPSAP1,224,140,303,166,220,274,162,209,242,427
SPHK1,8,127,0,8,21,55,9,9,45,133
UBE2O,71,26,26,198,304,320,182,325,147,404
AANAT,20,32,22,91,139,45,37,37,55,30
RHBDF2,721,304,287,3052,6328,2753,3394,4190,4560,2575
CYGB,7,0,0,13,11,9,20,5,11,9
PRCD,0,0,0,6,5,9,2,8,3,11
ST6GALNAC2,1835,1151,1598,3673,3949,6272,4409,3173,4154,4850
ST6GALNAC1,0,0,0,2,4,1,0,0,5,11
MXRA7,52,9,42,382,63,104,174,50,2008,114
JMJD6,2941,4373,2517,4514,2367,2493,3729,1188,2297,2339
METTL23,255,238,297,198,176,217,212,120,211,222
SRSF2,4247,5588,2839,4116,3930,2608,3772,1941,2835,3008
MFSD11,242,303,386,313,380,306,298,281,304,400
MGAT5B,0,0,0,0,0,0,0,1,0,0
SEC14L1,20767,16382,19578,43508,51448,58034,51156,55253,41302,56497
TNRC6C,510,604,489,800,592,760,772,785,656,847
TMC6,828,873,338,2632,1789,3288,2933,2447,2568,2987
TMC8,668,842,299,3627,4005,3949,3702,6790,3708,4265
C17orf99,0,22,0,2,4,1,5,0,0,1
SYNGR2,2356,4296,3181,2024,2232,3119,3887,3602,3500,4611
TK1,16,0,9,45,19,22,30,25,29,29
AFMID,20,25,23,12,14,17,14,17,25,30
BIRC5,5,14,3,3,4,0,0,0,2,7
TMEM235,0,0,0,0,0,0,0,0,0,0
SOCS3,6197,6438,3656,35448,24869,14454,48540,10943,14418,14659
PGS1,4185,8908,3198,4050,2862,2894,3166,4166,4881,2660
DNAH17,2617,2140,1254,2031,1025,609,1244,881,842,731
CYTH1,3613,2976,3215,9669,10443,11687,10812,10022,9971,14231
USP36,3,106,17,56,92,97,54,125,85,192
TIMP2,3047,5840,1850,13049,8829,13244,15638,14955,17464,16078
CEP295NL,45,28,15,50,18,29,18,54,28,43
LGALS3BP,275,5,243,279,349,257,425,220,443,299
CANT1,2365,2777,1147,6910,7165,9871,8542,9392,8144,8891
C1QTNF1,0,0,0,0,0,0,0,0,0,0
ENGASE,127,0,21,22,122,323,36,42,174,115
RBFOX3,0,0,0,1,3,4,0,0,1,0
ENPP7,0,0,0,0,0,0,0,0,0,0
CBX2,0,0,2,0,1,1,0,0,0,1
CBX8,65,213,86,96,111,141,141,103,118,202
CBX4,600,997,468,4206,4024,5255,5418,2903,4885,6210
TBC1D16,9,13,0,3,4,8,5,3,6,7
CCDC40,0,0,0,7,6,5,5,8,4,6
