Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
AKR1B10,0,0,0,0,0,0,0,0,0,0
AKR1B15,0,0,0,0,0,0,0,0,0,0
BPGM,778,851,992,256,488,514,522,437,518,548
CALD1,2,0,5,6,16,0,0,0,0,2
AGBL3,1,0,13,5,3,9,1,6,2,8
TMEM140,9724,3985,11122,4137,6408,4335,5056,8292,6212,3579
WDR91,606,518,495,1131,1247,894,647,847,853,958
STRA8,0,0,0,0,0,0,0,0,0,0
CNOT4,381,389,559,413,632,638,549,583,437,699
NUP205,50,1,41,67,104,87,46,59,54,99
SLC13A4,31,0,23,14,14,14,14,26,20,25
FAM180A,0,0,0,0,1,0,0,0,0,0
MTPN,0,0,0,0,0,0,0,0,0,0
CHRM2,0,0,0,0,0,0,0,0,0,0
PTN,0,0,1,0,0,0,0,0,0,0
DGKI,0,0,0,0,0,0,0,0,0,0
CREB3L2,171,210,34,251,590,376,418,671,281,319
AKR1D1,0,0,0,0,0,0,0,0,0,0
TRIM24,382,510,260,1368,1416,1229,1315,1176,936,1671
SVOPL,1,2,14,1,5,3,5,7,9,3
ATP6V0A4,0,0,0,0,0,0,0,0,0,0
TMEM213,1,0,0,0,0,0,1,0,0,0
KIAA1549,0,0,0,1,0,1,5,2,1,3
ZC3HAV1L,0,0,3,1,2,0,1,4,0,1
ZC3HAV1,11733,4336,8699,13578,9064,8444,10996,7668,9985,4480
TTC26,188,22,315,617,247,289,329,174,380,91
UBN2,492,219,189,994,887,813,628,735,473,728
LUC7L2,21,32,36,122,167,162,117,156,37,168
KLRG2,0,0,0,0,0,0,0,0,0,0
CLEC2L,0,0,0,1,3,1,0,1,0,1
HIPK2,654,461,263,828,934,1109,952,1124,628,1284
TBXAS1,5423,8536,6589,4501,7922,10227,9210,7572,8428,12139
PARP12,2754,791,1525,2453,2247,1072,1756,1455,1798,1471
KDM7A,1820,1066,1001,7522,6874,6071,6561,5562,3436,5023
SLC37A3,832,1726,1021,3130,1227,1570,2570,1695,1303,661
